Administrative District,Year,Total Enrollment,Grade 3K+PK (Half Day & Full Day),Grade K,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,# Female,% Female,# Male,% Male,# Asian,% Asian,# Black,% Black,# Hispanic,% Hispanic,# Multi-Racial,% Multi-Racial,# Native American,% Native American,# White,% White,# Missing Race/Ethnicity Data,% Missing Race/Ethnicity Data,# Students with Disabilities,% Students with Disabilities,# English Language Learners,% English Language Learners,# Poverty,% Poverty,Economic Need Index
1,2016-17,11772,827,850,907,889,859,834,808,828,833,836,675,988,817,821,5748,0.488,6024,0.512,2594,0.22,1901,0.161,4855,0.412,262,0.022,74,0.006,2059,0.175,27,0.002,2555,0.217,1065,0.09,7265,0.617,0.597
1,2017-18,11632,800,851,846,854,862,839,813,786,798,843,729,959,905,747,5590,0.481,6042,0.519,2517,0.216,1800,0.155,4887,0.42,306,0.026,71,0.006,2022,0.174,29,0.002,2528,0.217,1016,0.087,7682,0.66,0.67
1,2018-19,11376,759,799,850,816,838,839,832,750,780,782,746,928,813,844,5457,0.48,5919,0.52,2443,0.215,1758,0.155,4695,0.413,337,0.03,60,0.005,2045,0.18,38,0.003,2597,0.228,966,0.085,7314,0.643,0.661
1,2019-20,11506,960,812,782,848,813,818,831,758,765,793,817,873,801,835,5517,0.479,5989,0.521,2442,0.212,1747,0.152,4689,0.408,383,0.033,63,0.005,2056,0.179,126,0.011,2593,0.225,919,0.08,7419,0.645,0.677
1,2020-21,11021,832,728,762,746,787,775,788,755,752,756,830,894,825,791,5278,0.479,5743,0.521,2331,0.212,1630,0.148,4483,0.407,427,0.039,57,0.005,1992,0.181,101,0.009,2455,0.223,915,0.083,6960,0.632,0.663
2,2016-17,63805,2526,3051,2913,2832,2803,2935,2770,2671,2527,2478,10188,9404,8654,8053,33447,0.524,30357,0.476,14558,0.228,9837,0.154,20712,0.325,1683,0.026,322,0.005,15949,0.25,744,0.012,10655,0.167,5462,0.086,32855,0.515,0.472
2,2017-18,63497,2558,3193,2961,2873,2750,2777,2864,2743,2580,2548,9515,9609,8353,8173,33172,0.522,30316,0.477,14213,0.224,9391,0.148,20623,0.325,1897,0.03,336,0.005,16360,0.258,677,0.011,10882,0.171,5392,0.085,34971,0.551,0.543
2,2018-19,62973,2665,3033,3077,2830,2773,2710,2698,2816,2691,2600,9511,9025,8608,7936,32786,0.521,30187,0.479,13978,0.222,8865,0.141,20355,0.323,2127,0.034,353,0.006,16659,0.265,636,0.01,11080,0.176,5049,0.08,33493,0.532,0.529
2,2019-20,62820,2966,3128,2896,2978,2772,2712,2667,2780,2757,2701,9113,9118,8073,8159,32668,0.52,30152,0.48,13918,0.222,8629,0.137,20153,0.321,2251,0.036,354,0.006,16983,0.27,532,0.008,11015,0.175,4647,0.074,32756,0.521,0.535
2,2020-21,60327,2603,2695,2622,2506,2600,2525,2481,2625,2638,2674,9135,8992,8535,7696,31440,0.521,28887,0.479,13455,0.223,8338,0.138,19782,0.328,2169,0.036,352,0.006,15503,0.257,728,0.012,10829,0.18,4818,0.08,31697,0.525,0.533
3,2016-17,22706,1084,1405,1511,1462,1436,1360,1289,1484,1426,1305,2284,2501,2123,2036,12173,0.536,10532,0.464,1824,0.08,5144,0.227,7477,0.329,741,0.033,119,0.005,7126,0.314,275,0.012,3977,0.175,1170,0.052,10827,0.477,0.444
3,2017-18,22667,1144,1295,1388,1442,1437,1401,1361,1390,1464,1427,2353,2370,2234,1961,12192,0.538,10465,0.462,1875,0.083,4873,0.215,7332,0.323,852,0.038,119,0.005,7349,0.324,267,0.012,4026,0.178,1140,0.05,11293,0.498,0.501
