iter	RMSE
0	18.16036203
1	16.4305912
2	15.05566977
3	13.90142794
4	12.85568792
5	12.02730053
6	11.23840541
7	10.55848868
8	9.961355086
9	9.580831854
10	9.151713358
11	8.767210361
12	8.476434588
13	8.211966844
14	7.988458485
15	7.784741308
16	7.603851868
17	7.44588967
18	7.317594566
19	7.196996843
20	7.090213873
21	6.987619368
22	6.889379755
23	6.811940847
24	6.722717099
25	6.617855425
26	6.557325722
27	6.490027796
28	6.425758685
29	6.376541768
30	6.311480091
31	6.261257394
32	6.224504395
33	6.176980705
34	6.129823689
35	6.083506845
36	6.026974904
37	5.991083682
38	5.955695274
39	5.93090383
40	5.905412168
41	5.873605311
42	5.848402901
43	5.810276336
44	5.783725805
45	5.751743857
46	5.721320158
47	5.692974777
48	5.669983145
49	5.640941397
50	5.614559933
51	5.573486579
52	5.550695308
53	5.515368983
54	5.496150065
55	5.470624217
56	5.45013619
57	5.425885085
58	5.397380792
59	5.35650878
60	5.33479519
61	5.306712887
62	5.28630239
63	5.270718158
64	5.25289098
65	5.228317688
66	5.196157693
67	5.18233072
68	5.157769342
69	5.128138777
70	5.102570681
71	5.092649729
72	5.062883069
73	5.043841591
74	5.020395284
75	4.999115008
76	4.986286906
77	4.958369785
78	4.942071641
79	4.924486513
80	4.903535856
81	4.894602512
82	4.887440252
83	4.867408285
84	4.852698227
85	4.840981203
86	4.831401985
87	4.811330198
88	4.801567431
89	4.779060292
90	4.758066946
91	4.73966999
92	4.725839596
93	4.712935529
94	4.696531516
95	4.678488297
96	4.656344415
97	4.647321972
98	4.639105561
99	4.623803825
100	4.612280469
101	4.594080573
102	4.5773685
103	4.564381841
104	4.552547439
105	4.540793575
106	4.52638139
107	4.509158122
108	4.493390299
109	4.483425389
110	4.464252875
111	4.451422798
112	4.440888346
113	4.431673979
114	4.424094175
115	4.416621834
116	4.404914652
117	4.392526084
118	4.382307699
119	4.366753519
120	4.355912567
121	4.337399905
122	4.32150688
123	4.3096915
124	4.302095936
125	4.292543957
126	4.287669572
127	4.277093425
128	4.268454774
129	4.264957052
130	4.248756961
131	4.236558459
132	4.227244457
133	4.217168643
134	4.202562358
135	4.186975224
136	4.173739453
137	4.154880532
138	4.144819536
139	4.135016665
140	4.130104012
141	4.121189684
142	4.11052193
143	4.101329968
144	4.090505958
145	4.080275014
146	4.071053342
147	4.062115535
148	4.05326389
149	4.043596166
150	4.035720726
151	4.025776793
152	4.019668196
153	4.007898798
154	3.996499379
155	3.986862663
156	3.978704234
157	3.970537518
158	3.960521512
159	3.950322607
160	3.942288206
161	3.931216448
162	3.920986737
163	3.913379591
164	3.90589384
165	3.892485231
166	3.887808226
167	3.881037532
168	3.873295449
169	3.86557457
170	3.853563059
171	3.845577751
172	3.833611094
173	3.825203378
174	3.818927546
175	3.812150294
176	3.801924033
177	3.792399437
178	3.785265514
179	3.778259921
180	3.773870717
181	3.769357423
182	3.767592068
183	3.761325504
184	3.759624514
185	3.749415881
186	3.739102809
187	3.735180295
188	3.728654306
189	3.723144768
190	3.716075724
191	3.708091772
192	3.701821166
193	3.69598821
194	3.690620484
195	3.68136636
196	3.672002852
197	3.663483118
198	3.653694879
199	3.646440966
200	3.639868904
201	3.631985276
202	3.624876098
203	3.6178624
204	3.611299019
205	3.603858172
206	3.596140854
207	3.59197036
208	3.58105472
209	3.576589885
210	3.570172891
211	3.56706701
212	3.559058893
213	3.552693909
214	3.54881024
215	3.543999762
216	3.538202855
217	3.531011861
218	3.525219205
219	3.518076
220	3.511519637
221	3.505011589
222	3.494786999
223	3.491199827
224	3.48307514
225	3.478975486
226	3.472117787
227	3.465840553
228	3.460678318
229	3.454653541
230	3.448844663
231	3.443007703
232	3.437349903
233	3.431857826
234	3.426321243
235	3.421479933
236	3.41692747
237	3.412607021
238	3.406727245
239	3.401127604
240	3.395312953
241	3.389053218
242	3.385108892
243	3.378827953
244	3.373017841
245	3.365421842
246	3.363582335
247	3.355690354
248	3.351059553
249	3.34479492
250	3.340340699
251	3.336995829
252	3.331273504
253	3.325519393
254	3.320952183
255	3.315150287
256	3.313626849
257	3.307815036
258	3.302234807
259	3.297420258
260	3.2912563
261	3.285852255
262	3.279207863
263	3.273627969
264	3.270601653
265	3.265495651
266	3.259114256
267	3.253647885
268	3.251199357
269	3.246163832
270	3.241618729
271	3.234913875
272	3.230701147
273	3.224393578
274	3.219354766
275	3.215681177
276	3.211785928
277	3.209643122
278	3.203904604
279	3.200123594
280	3.195798179
281	3.190919271
282	3.186544004
283	3.181029564
284	3.176478784
285	3.17185068
286	3.167469768
287	3.161344256
288	3.156549492
289	3.154776129
290	3.14874221
291	3.145608516
292	3.140652835
293	3.134943723
294	3.129689341
295	3.123480646
296	3.118665203
297	3.113150173
298	3.109626086
299	3.106247211
300	3.101562498
301	3.098261351
302	3.094193222
303	3.089589695
304	3.085137616
305	3.079832242
306	3.077300832
307	3.075541248
308	3.07117284
309	3.066479312
310	3.063677135
311	3.058585043
312	3.056411646
313	3.051075186
314	3.050315184
315	3.04471978
316	3.040258811
317	3.036779071
318	3.033954966
319	3.031032412
320	3.027605128
