iter	Passed	Remaining
0	2	1021
1	5	1025
2	7	1034
3	10	1085
4	13	1059
5	15	1034
6	18	1019
7	20	1011
8	23	1008
9	25	1003
10	28	1010
11	33	1098
12	36	1103
13	40	1112
14	43	1117
15	46	1118
16	48	1107
17	51	1101
18	54	1096
19	57	1090
20	59	1087
21	62	1085
22	65	1084
23	68	1076
24	71	1072
25	73	1068
26	76	1066
27	80	1071
28	83	1072
29	86	1078
30	90	1082
31	93	1078
32	96	1075
33	99	1071
34	101	1066
35	104	1065
36	107	1063
37	110	1061
38	113	1057
39	116	1055
40	119	1051
41	122	1048
42	125	1047
43	128	1044
44	131	1041
45	134	1037
46	137	1035
47	140	1032
48	143	1034
49	146	1031
50	149	1028
51	152	1026
52	155	1023
53	158	1020
54	161	1019
55	164	1017
56	167	1013
57	170	1010
58	173	1008
59	176	1005
60	179	1001
61	183	1003
62	187	1007
63	192	1016
64	196	1019
65	202	1028
66	205	1029
67	214	1052
68	218	1055
69	223	1061
70	228	1063
71	231	1061
72	235	1059
73	238	1056
74	241	1054
75	244	1050
76	248	1046
77	250	1042
78	254	1038
79	257	1035
80	260	1032
81	263	1028
82	266	1025
83	269	1022
84	273	1018
85	276	1017
86	279	1013
87	287	1025
88	290	1021
89	293	1018
90	296	1014
91	300	1012
92	303	1009
93	307	1006
94	310	1001
95	313	998
96	316	995
97	319	991
98	322	987
99	325	982
100	328	979
101	331	975
102	334	971
103	337	966
104	340	963
105	343	959
106	346	956
107	349	951
108	352	947
109	355	943
110	358	940
111	362	937
112	364	932
113	367	928
114	370	925
115	373	921
116	377	918
117	380	915
118	383	912
119	387	911
120	392	911
121	395	907
122	399	905
123	402	901
124	405	899
125	408	895
126	411	891
127	415	889
128	418	885
129	421	881
130	423	876
131	426	872
132	429	868
133	432	864
134	434	860
135	437	856
136	440	852
137	443	848
138	446	845
139	449	840
140	452	837
141	455	834
142	459	831
143	462	828
144	465	824
145	468	822
146	471	818
147	474	814
148	478	812
149	482	810
150	485	807
151	489	805
152	493	803
153	496	799
154	499	795
155	501	791
156	505	788
157	508	785
158	511	782
159	514	778
160	517	774
161	520	771
162	523	767
163	526	764
164	529	761
165	534	760
166	537	756
167	541	753
168	543	749
169	546	745
170	549	742
171	553	739
172	557	737
173	560	734
174	564	732
175	568	729
176	572	727
177	576	725
178	579	721
179	582	718
180	585	714
181	587	710
182	591	707
183	594	704
184	597	701
185	600	697
186	603	694
187	606	690
188	609	687
189	612	683
190	616	681
191	621	679
192	625	677
193	628	674
194	631	670
195	634	666
196	636	662
197	639	658
198	642	655
199	644	651
200	647	647
201	650	643
202	653	640
203	656	637
204	659	633
205	662	630
206	665	626
207	669	624
208	672	620
209	675	617
210	678	614
211	681	610
212	685	607
213	688	605
214	692	602
215	696	599
216	699	596
217	702	592
218	706	590
219	709	587
220	713	584
221	715	580
222	718	576
223	721	573
224	723	569
225	726	565
226	728	561
227	731	558
228	734	554
229	737	551
230	740	548
231	743	544
232	746	541
233	749	538
234	752	535
235	756	531
236	759	528
237	763	526
238	765	522
239	768	518
240	770	514
241	772	510
242	775	507
243	777	503
244	780	500
245	783	496
246	785	493
247	788	489
248	790	485
249	792	482
250	795	478
251	797	474
252	799	471
253	802	467
254	805	464
255	807	460
256	809	456
257	811	453
258	814	449
259	816	445
260	818	442
261	821	439
262	824	435
263	826	432
264	828	428
265	831	424
266	833	421
267	835	417
268	837	414
269	840	410
270	842	407
271	845	403
272	847	400
273	850	397
274	852	393
275	854	390
276	857	386
277	859	383
278	862	380
279	865	376
280	867	373
281	869	370
282	872	366
283	874	363
284	877	360
285	880	356
286	882	353
287	885	350
288	887	347
289	890	343
290	892	340
291	895	337
292	897	334
293	900	330
294	903	327
295	905	324
296	907	320
297	910	317
298	913	314
299	916	311
300	919	308
301	923	305
302	925	302
303	928	299
304	931	296
305	934	293
306	937	290
307	940	287
308	944	284
309	948	281
310	951	278
311	955	275
312	958	272
313	961	269
314	964	266
315	967	263
316	970	260
317	973	257
318	976	253
319	978	250
320	981	247
321	984	244
322	987	241
323	990	238
324	992	235
325	995	232
326	998	228
327	1001	225
328	1003	222
329	1006	219
330	1008	216
331	1011	213
332	1014	210
333	1017	207
334	1020	204
335	1023	200
336	1026	197
337	1029	194
338	1032	191
339	1035	188
340	1038	185
341	1041	182
342	1044	179
343	1047	176
344	1050	173
345	1054	170
346	1058	167
347	1062	164
348	1064	161
349	1068	158
350	1072	155
351	1075	152
352	1078	149
353	1082	146
354	1086	143
355	1090	140
356	1094	137
357	1097	134
358	1102	132
359	1109	129
360	1114	126
361	1118	123
362	1121	120
363	1125	117
364	1130	114
365	1134	111
366	1137	108
367	1140	105
368	1143	102
369	1147	99
370	1151	96
371	1155	93
372	1158	90
373	1161	86
374	1165	83
375	1169	80
376	1173	77
377	1176	74
378	1179	71
379	1182	68
380	1184	65
381	1187	62
382	1191	59
383	1193	55
384	1196	52
385	1199	49
386	1201	46
387	1204	43
388	1207	40
389	1210	37
390	1213	34
391	1216	31
392	1218	27
393	1221	24
394	1223	21
395	1226	18
396	1229	15
397	1232	12
398	1234	9
399	1237	6
400	1241	3
401	1243	0
